,Mes,A̱o,Precio(euros/mes),PRECIO ELECTRICIDAD(OMIE)
0,Noviembre,2022,73.85,115.6
1,Octubre,2022,85.63,126.4
2,Septiembre,2022,110.55,141.1
3,Agosto,2022,130.99,154.9
4,Julio,2022,114.63,142.7
5,Junio,2022,102.65,169.6
6,Mayo,2022,98.8,187.1
7,Abril,2022,102.34,191.5
8,Marzo,2022,143.03,283.3
9,Febrero,2022,110.27,200.2
10,Enero,2022,111.64,201.72
11,Diciembre,2021,119.17,239.17
12,Noviembre,2021,95.94,193.43
13,Octubre,2021,100.7,204.09
14,Septiembre,2021,87.4,156.15
15,Agosto,2021,78.3,105.94
16,Julio,2021,72.2,92.42
17,Junio,2021,68.81,83.3
18,Mayo,2021,70.55,65.94
19,Abril,2021,70.73,65.02
20,Marzo,2021,62.25,45.45
21,Febrero,2021,55.22,28.49
22,Enero,2021,69.88,62.85
23,Diciembre,2020,60.96,41.97
24,Noviembre,2020,60.33,41.94
